Fecha,Consumo_Real_kWh,Consumo_Predicho_kWh,Error_Absoluto_kWh
2025-09-01,435766.0,484552.0538955505,48786.05389555049
2025-10-01,405117.0,489009.3987288838,83892.39872888383
2025-11-01,449673.0,482977.512187024,33304.512187024
2025-12-01,328647.0,360924.8605454404,32277.860545440402
2026-01-01,256925.0,330430.4183232182,73505.41832321818
2026-02-01,438288.0,422355.1285464794,15932.871453520609
2026-03-01,444947.0,443801.9701959087,1145.0298040913185
2026-04-01,362382.0,392511.7723296083,30129.772329608328
